100 1050
80 97 1
70 53 1
95 81 1
66 12 1
12 1 1
28 81 1
65 64 1
9 21 1
38 79 1
80 28 1
75 23 1
95 18 1
97 10 1
5 76 1
91 17 1
39 21 1
85 45 1
39 29 1
47 100 1
33 37 1
52 46 1
31 26 1
3 46 1
85 61 1
51 43 1
72 40 1
95 44 1
93 19 1
9 86 1
75 39 1
78 25 1
63 33 1
59 21 1
19 18 1
50 42 1
3 62 1
30 38 1
86 97 1
92 10 1
31 42 1
15 98 1
73 35 1
7 81 1
72 67 1
66 27 1
59 62 1
8 98 1
73 88 1
43 40 1
68 76 1
94 88 1
66 38 1
95 97 1
82 54 1
14 80 1
22 51 1
49 21 1
96 79 1
3 37 1
30 55 1
90 11 1
75 44 1
21 26 1
28 4 1
74 40 1
83 12 1
50 6 1
27 70 1
47 99 1
7 19 1
78 24 1
32 12 1
12 13 1
64 69 1
12 17 1
64 70 1
80 84 1
75 51 1
27 87 1
66 95 1
13 79 1
32 35 1
88 55 1
98 5 1
37 36 1
94 80 1
68 67 1
3 56 1
12 37 1
76 84 1
49 89 1
88 30 1
85 28 1
56 80 1
52 62 1
59 38 1
18 57 1
56 25 1
7 34 1
31 19 1
66 40 1
56 84 1
73 75 1
58 67 1
14 67 1
90 79 1
57 79 1
75 16 1
20 86 1
85 23 1
37 60 1
22 79 1
13 87 1
72 55 1
15 11 1
71 12 1
32 16 1
89 76 1
72 15 1
74 55 1
65 99 1
49 76 1
73 79 1
12 81 1
78 83 1
72 45 1
60 76 1
88 60 1
3 27 1
43 34 1
42 55 1
1 36 1
75 74 1
27 33 1
94 20 1
83 87 1
13 24 1
48 46 1
49 6 1
2 98 1
12 46 1
34 79 1
64 85 1
78 96 1
47 28 1
39 12 1
83 24 1
98 81 1
64 55 1
58 20 1
48 18 1
8 74 1
48 62 1
29 55 1
8 61 1
72 100 1
54 86 1
80 18 1
94 3 1
32 6 1
31 77 1
82 21 1
37 6 1
83 60 1
9 30 1
83 25 1
81 84 1
58 2 1
85 22 1
97 43 1
28 51 1
9 13 1
14 4 1
12 18 1
26 87 1
90 36 1
49 100 1
55 6 1
3 98 1
32 76 1
72 50 1
62 87 1
13 34 1
49 25 1
93 17 1
70 57 1
59 3 1
48 70 1
27 11 1
70 11 1
58 97 1
64 57 1
73 25 1
47 12 1
12 26 1
56 8 1
68 29 1
58 15 1
41 44 1
82 12 1
30 18 1
28 69 1
88 57 1
37 61 1
47 51 1
74 37 1
8 79 1
54 100 1
2 12 1
90 55 1
45 16 1
72 97 1
64 43 1
33 57 1
41 12 1
56 70 1
26 36 1
51 84 1
94 97 1
31 6 1
70 12 1
48 36 1
70 33 1
50 55 1
88 54 1
58 36 1
89 61 1
22 5 1
58 96 1
77 79 1
93 45 1
52 35 1
25 76 1
78 50 1
73 91 1
68 79 1
56 44 1
33 69 1
56 83 1
15 69 1
53 62 1
71 51 1
80 91 1
67 12 1
61 6 1
75 79 1
39 34 1
74 62 1
70 76 1
27 12 1
72 22 1
68 99 1
57 97 1
7 88 1
25 52 1
61 79 1
83 57 1
65 10 1
12 76 1
14 93 1
32 33 1
65 61 1
47 43 1
23 53 1
48 38 1
21 61 1
54 76 1
56 10 1
94 79 1
82 79 1
39 47 1
82 43 1
49 44 1
12 86 1
66 15 1
21 10 1
70 28 1
73 17 1
11 35 1
48 74 1
98 87 1
22 87 1
28 10 1
46 79 1
58 86 1
72 10 1
92 17 1
31 37 1
97 11 1
94 12 1
14 44 1
49 82 1
60 11 1
37 10 1
82 5 1
49 70 1
91 79 1
67 45 1
7 55 1
47 10 1
48 43 1
47 79 1
49 38 1
29 12 1
78 41 1
7 46 1
9 55 1
37 99 1
53 44 1
48 78 1
88 89 1
19 11 1
9 42 1
41 21 1
93 53 1
70 87 1
39 52 1
78 46 1
32 5 1
66 1 1
39 70 1
22 35 1
34 81 1
94 53 1
58 33 1
65 79 1
100 12 1
41 96 1
26 81 1
69 44 1
88 36 1
28 12 1
38 10 1
99 36 1
80 60 1
91 34 1
80 11 1
14 26 1
74 51 1
23 99 1
78 56 1
66 9 1
73 28 1
95 33 1
58 98 1
38 60 1
56 91 1
67 87 1
88 22 1
35 44 1
70 16 1
80 8 1
52 40 1
3 99 1
80 50 1
12 36 1
41 76 1
74 61 1
3 87 1
9 60 1
14 88 1
12 53 1
4 77 1
85 12 1
48 12 1
48 82 1
95 22 1
68 7 1
100 51 1
17 36 1
48 22 1
7 25 1
57 42 1
3 23 1
83 76 1
100 79 1
80 90 1
75 81 1
4 5 1
89 1 1
12 21 1
64 84 1
73 8 1
65 36 1
71 5 1
94 5 1
74 12 1
58 1 1
14 64 1
20 6 1
66 74 1
32 45 1
83 30 1
12 60 1
58 12 1
88 86 1
31 72 1
31 95 1
12 35 1
48 72 1
58 4 1
1 79 1
87 17 1
73 77 1
7 62 1
63 20 1
52 43 1
62 38 1
9 5 1
25 79 1
95 39 1
87 42 1
37 87 1
73 5 1
96 90 1
37 35 1
48 75 1
4 38 1
67 15 1
78 86 1
85 18 1
39 46 1
82 34 1
24 87 1
32 21 1
56 96 1
47 97 1
78 60 1
73 70 1
7 28 1
31 13 1
65 55 1
83 70 1
12 38 1
82 32 1
29 86 1
32 8 1
75 11 1
64 28 1
95 46 1
70 79 1
59 88 1
28 52 1
63 46 1
28 26 1
28 99 1
21 76 1
92 12 1
92 56 1
12 20 1
38 77 1
75 87 1
14 56 1
28 55 1
12 25 1
78 32 1
9 35 1
80 69 1
19 12 1
54 22 1
31 12 1
25 86 1
21 34 1
30 22 1
12 62 1
75 2 1
70 13 1
10 40 1
65 12 1
64 74 1
90 76 1
100 21 1
100 20 1
12 55 1
97 79 1
95 19 1
80 53 1
65 40 1
63 81 1
77 1 1
38 46 1
78 35 1
93 49 1
65 44 1
58 39 1
63 16 1
46 35 1
49 22 1
94 69 1
53 61 1
15 99 1
83 97 1
93 43 1
65 2 1
2 15 1
23 46 1
19 79 1
88 64 1
77 34 1
8 37 1
40 76 1
64 24 1
93 51 1
13 35 1
66 85 1
78 3 1
94 59 1
65 74 1
73 15 1
30 12 1
30 17 1
54 26 1
82 9 1
47 60 1
12 15 1
31 89 1
12 97 1
17 99 1
73 50 1
69 20 1
2 11 1
62 40 1
94 36 1
74 46 1
89 79 1
95 51 1
74 52 1
51 60 1
39 51 1
50 53 1
67 90 1
56 2 1
12 90 1
33 77 1
54 19 1
82 91 1
12 45 1
56 40 1
13 51 1
93 12 1
63 76 1
14 51 1
54 90 1
9 1 1
99 77 1
63 29 1
72 69 1
3 65 1
28 67 1
12 42 1
92 71 1
63 40 1
3 45 1
74 77 1
12 99 1
25 62 1
93 57 1
67 35 1
60 90 1
21 89 1
56 15 1
58 94 1
16 40 1
41 19 1
7 8 1
95 83 1
80 36 1
12 89 1
18 6 1
20 5 1
2 36 1
28 24 1
32 87 1
75 24 1
14 85 1
12 6 1
17 35 1
15 57 1
57 81 1
31 10 1
41 73 1
94 25 1
12 16 1
27 69 1
64 4 1
63 6 1
30 21 1
82 83 1
87 36 1
49 77 1
64 18 1
19 81 1
49 54 1
30 15 1
12 44 1
64 1 1
93 46 1
94 1 1
96 12 1
78 12 1
12 69 1
78 8 1
41 10 1
14 70 1
96 25 1
66 84 1
30 99 1
29 97 1
50 1 1
82 76 1
77 44 1
63 22 1
22 38 1
18 86 1
99 79 1
78 2 1
23 12 1
26 89 1
88 12 1
7 85 1
74 60 1
12 91 1
66 4 1
100 26 1
2 76 1
27 62 1
59 12 1
30 51 1
39 32 1
21 13 1
58 26 1
14 9 1
85 30 1
32 90 1
31 22 1
66 77 1
68 56 1
25 77 1
74 34 1
59 96 1
41 74 1
13 86 1
22 53 1
57 36 1
34 44 1
80 43 1
31 67 1
2 70 1
32 91 1
47 35 1
95 61 1
93 52 1
14 48 1
60 81 1
66 13 1
12 11 1
73 55 1
3 52 1
83 89 1
67 5 1
100 97 1
12 98 1
9 12 1
75 97 1
93 55 1
3 91 1
75 62 1
73 56 1
12 61 1
18 24 1
7 69 1
19 52 1
63 79 1
12 10 1
49 96 1
41 89 1
90 81 1
96 27 1
56 97 1
41 24 1
97 81 1
80 12 1
29 26 1
50 17 1
9 6 1
20 24 1
58 48 1
12 77 1
59 40 1
18 13 1
77 55 1
100 57 1
48 81 1
27 77 1
80 24 1
13 77 1
8 97 1
95 12 1
51 36 1
12 22 1
25 46 1
33 52 1
42 35 1
19 26 1
63 87 1
12 40 1
