1000 5506
198 631 1
722 779 1
899 476 1
269 254 1
710 974 1
913 302 1
385 974 1
739 160 1
610 654 1
959 58 1
417 254 1
909 557 1
30 432 1
760 320 1
380 293 1
667 768 1
184 813 1
985 720 1
805 830 1
475 825 1
406 582 1
743 167 1
649 939 1
25 481 1
445 34 1
650 290 1
526 9 1
254 727 1
846 335 1
254 903 1
700 974 1
16 977 1
977 974 1
206 884 1
169 509 1
837 488 1
254 326 1
474 293 1
375 234 1
198 606 1
197 616 1
979 116 1
54 974 1
916 489 1
674 107 1
644 67 1
877 817 1
21 886 1
810 639 1
216 974 1
756 231 1
127 212 1
30 599 1
99 974 1
146 992 1
262 252 1
998 120 1
665 974 1
12 974 1
911 172 1
300 193 1
11 479 1
953 254 1
345 254 1
746 726 1
397 611 1
150 391 1
606 712 1
254 242 1
522 884 1
172 974 1
334 43 1
548 922 1
505 519 1
532 652 1
26 955 1
509 785 1
107 335 1
752 192 1
69 325 1
254 905 1
822 317 1
251 491 1
414 89 1
691 974 1
221 458 1
580 309 1
697 974 1
108 33 1
555 623 1
121 95 1
990 737 1
92 746 1
211 254 1
810 312 1
701 72 1
477 619 1
147 609 1
947 554 1
819 302 1
137 470 1
950 160 1
614 329 1
218 49 1
282 427 1
668 974 1
390 279 1
254 800 1
308 249 1
87 564 1
494 260 1
27 254 1
725 559 1
138 974 1
640 933 1
166 799 1
82 240 1
587 87 1
823 152 1
662 974 1
724 49 1
103 254 1
254 174 1
479 727 1
930 262 1
392 339 1
79 633 1
238 486 1
416 475 1
166 223 1
902 987 1
595 974 1
471 974 1
20 11 1
136 974 1
20 543 1
944 855 1
353 795 1
56 266 1
274 886 1
369 958 1
426 906 1
263 462 1
38 299 1
254 223 1
86 252 1
685 636 1
282 991 1
528 45 1
272 895 1
115 381 1
912 321 1
544 204 1
461 847 1
793 277 1
895 840 1
278 76 1
581 449 1
497 89 1
165 176 1
254 874 1
720 254 1
254 671 1
254 444 1
308 401 1
958 254 1
635 336 1
734 974 1
455 516 1
958 315 1
239 616 1
201 974 1
563 177 1
605 974 1
254 118 1
719 974 1
984 8 1
545 158 1
655 254 1
254 654 1
714 754 1
642 480 1
665 111 1
201 268 1
254 663 1
918 254 1
185 905 1
254 112 1
332 819 1
203 160 1
979 557 1
638 254 1
683 239 1
701 974 1
722 254 1
592 901 1
665 634 1
254 6 1
102 964 1
465 254 1
482 794 1
984 974 1
130 974 1
652 654 1
862 564 1
827 829 1
793 974 1
128 262 1
693 828 1
343 795 1
923 171 1
958 181 1
921 999 1
106 974 1
645 404 1
896 254 1
314 162 1
188 63 1
254 106 1
693 240 1
782 254 1
272 847 1
254 299 1
819 608 1
732 988 1
731 373 1
508 974 1
332 974 1
812 437 1
715 945 1
21 254 1
261 832 1
821 932 1
715 271 1
254 125 1
445 974 1
393 142 1
649 993 1
702 860 1
319 321 1
782 518 1
274 972 1
23 412 1
165 254 1
217 876 1
311 254 1
254 336 1
885 199 1
254 167 1
254 699 1
186 8 1
614 508 1
687 717 1
54 114 1
131 118 1
720 29 1
686 159 1
51 609 1
280 569 1
982 990 1
513 974 1
361 878 1
952 254 1
927 806 1
176 502 1
166 974 1
79 895 1
27 99 1
892 254 1
254 761 1
915 575 1
481 767 1
275 623 1
463 315 1
977 711 1
253 791 1
437 897 1
69 198 1
989 89 1
254 940 1
74 974 1
986 429 1
338 254 1
574 838 1
54 895 1
254 991 1
301 696 1
834 374 1
254 676 1
5 934 1
984 734 1
366 262 1
795 661 1
496 285 1
859 566 1
411 43 1
485 397 1
516 783 1
55 591 1
377 998 1
254 450 1
824 99 1
703 254 1
565 339 1
823 571 1
342 974 1
240 35 1
687 815 1
172 832 1
567 237 1
442 289 1
841 390 1
322 398 1
834 974 1
347 254 1
805 254 1
254 562 1
589 550 1
437 597 1
269 187 1
254 885 1
85 67 1
349 930 1
154 175 1
742 974 1
254 669 1
872 940 1
968 237 1
958 632 1
2 611 1
931 367 1
21 987 1
70 736 1
254 134 1
769 303 1
282 213 1
816 473 1
859 939 1
829 188 1
251 765 1
484 974 1
913 225 1
254 505 1
919 886 1
561 219 1
892 860 1
599 920 1
66 745 1
79 834 1
553 426 1
467 285 1
843 681 1
540 107 1
136 623 1
606 949 1
970 254 1
529 828 1
254 199 1
136 122 1
43 974 1
921 254 1
811 254 1
66 576 1
487 45 1
236 871 1
888 171 1
461 683 1
10 65 1
254 355 1
971 254 1
323 974 1
644 915 1
633 254 1
869 616 1
809 956 1
818 213 1
405 180 1
601 254 1
960 223 1
563 654 1
45 254 1
785 745 1
650 503 1
494 254 1
807 254 1
36 860 1
254 564 1
719 489 1
533 254 1
515 825 1
211 981 1
742 610 1
481 254 1
835 963 1
288 122 1
69 241 1
156 478 1
599 254 1
719 981 1
546 323 1
980 484 1
982 201 1
601 272 1
254 520 1
254 975 1
138 306 1
131 254 1
329 974 1
254 222 1
254 696 1
254 468 1
532 266 1
254 981 1
254 869 1
552 89 1
176 987 1
487 13 1
254 460 1
421 363 1
997 974 1
780 254 1
12 303 1
584 60 1
859 526 1
192 516 1
21 313 1
23 337 1
85 637 1
160 974 1
726 895 1
203 673 1
617 207 1
254 941 1
749 653 1
617 539 1
916 606 1
254 435 1
137 300 1
117 298 1
990 803 1
898 254 1
254 13 1
773 702 1
952 783 1
225 254 1
699 974 1
665 667 1
283 254 1
241 576 1
618 31 1
469 722 1
373 756 1
994 969 1
601 904 1
267 867 1
919 254 1
91 511 1
312 681 1
927 125 1
25 974 1
560 737 1
48 974 1
254 753 1
666 925 1
313 889 1
837 964 1
931 242 1
953 439 1
519 619 1
560 850 1
108 389 1
245 971 1
927 50 1
123 639 1
790 906 1
231 684 1
361 574 1
818 634 1
612 974 1
366 726 1
937 845 1
623 549 1
480 690 1
27 868 1
254 247 1
639 784 1
254 393 1
925 493 1
910 254 1
254 551 1
509 974 1
254 96 1
999 796 1
811 236 1
224 254 1
548 889 1
495 412 1
24 974 1
279 957 1
859 974 1
598 254 1
868 956 1
892 598 1
989 693 1
899 702 1
885 974 1
649 840 1
365 9 1
239 174 1
623 254 1
31 423 1
812 400 1
946 846 1
831 637 1
589 974 1
907 252 1
317 225 1
254 613 1
85 154 1
908 254 1
116 801 1
22 974 1
288 254 1
158 711 1
832 755 1
533 974 1
798 240 1
345 853 1
728 564 1
504 974 1
950 531 1
494 829 1
141 817 1
679 700 1
151 868 1
198 208 1
649 558 1
254 486 1
690 974 1
19 920 1
554 504 1
254 643 1
160 464 1
656 254 1
774 389 1
584 390 1
325 184 1
246 629 1
109 974 1
608 884 1
403 381 1
812 184 1
254 906 1
641 974 1
610 253 1
166 957 1
118 974 1
550 281 1
223 659 1
726 52 1
951 739 1
728 388 1
254 603 1
254 996 1
816 329 1
61 974 1
632 204 1
342 966 1
632 572 1
10 808 1
639 587 1
951 254 1
263 42 1
699 700 1
546 248 1
247 974 1
269 339 1
254 702 1
993 197 1
209 956 1
301 67 1
137 668 1
20 329 1
899 885 1
92 140 1
263 807 1
565 479 1
316 801 1
954 254 1
254 657 1
165 132 1
219 876 1
938 183 1
116 254 1
777 996 1
788 254 1
917 745 1
146 254 1
445 206 1
594 851 1
417 217 1
877 16 1
12 57 1
121 120 1
117 60 1
571 742 1
593 291 1
391 755 1
37 490 1
777 825 1
715 814 1
724 254 1
230 368 1
568 846 1
213 974 1
779 254 1
502 256 1
146 327 1
136 254 1
751 254 1
46 795 1
241 9 1
740 254 1
18 115 1
552 206 1
587 236 1
553 296 1
90 665 1
254 272 1
333 326 1
240 423 1
146 965 1
49 806 1
254 476 1
243 912 1
321 974 1
254 871 1
143 194 1
745 423 1
675 614 1
55 288 1
154 4 1
669 384 1
260 254 1
708 380 1
976 907 1
295 802 1
386 974 1
41 974 1
254 942 1
352 616 1
614 906 1
752 254 1
724 898 1
465 236 1
203 601 1
891 254 1
9 248 1
254 177 1
110 190 1
394 974 1
295 172 1
534 812 1
359 468 1
339 881 1
254 19 1
982 373 1
500 906 1
